"Reg","Type","CN","Manufacturer","Owner","DateRegistered","Status"
"5Y-AAJ","CESSNA 182H","150-56017","CESSNA AIRCRAFT COMPANY","KENYA NATIONAL PARKSP. O. BOX 42076 NAIROBI.","","EXPIRED"
"5Y-AAO","CESSNA 150-D","150-60667","CESSNA AIRCRAFT COMPANY","KISHORCHANDRA AMBALAL PATEL P. O. BOX 42339 NAIROBI.","1991-02-31","VALID"
"5Y-AAV","PIPER PA.28-235","28-10331","PIPER AIRCRAFT COMPANY","UNITED FINANCE LTD & PETER H.HUTH,P. O. BOX 48721 NAIROBI.","","EXPIRED"
"5Y-AAW","PIPER PA-24-260","24-4047","PIPER AIRCRAFT COMPANY","SIGHT BY WINGSP. O. BOX 41857 NAIROBI","","EXPIRED"
"5Y-ACE","PIPER PA-18-150","18-8301","PIPER AIRCRAFT COMPANY","JOHN FRANCIS GILFRID DYER P.O.BOX 477 NANYUKI,KENYA ","2005-02-31","VALID"
"5Y-ACG","CESSNA 185A","185-0468","CESSNA AIRCRAFT COMPANY","STEEL FUELDS ENG. LTD $ NATIONAL INDUSTRIAL CREDIT LTD P.O. BOX 47560 NAIROBI","1981-06-31","VALID"
"5Y-ACL","CESSNA 185-D","185-0942","CESSNA AIRCRAFT COMPANY","KAPI LTDP.O. BOX 252NAKURU","1990-06-31","VALID"
"5Y-ADE","PIPER PA32 - 260","32-298","PIPER AIRCRAFT COMPANY","MRS. I. GUFLER $ MR.T. FUGIS & CREDIT FINANCE CORPORATION P. O. BOX 82129, MOMBASA & P. O. BOX 72833 NAIROBI","","EXPIRED"
"5Y-ADK","BEECH BARON 95-E55","TE-170","BEECH AIRCRAFT COMPANY","RIVERCROSS SERVICES LTD $ COMMERCIAL FINANCE COMPANY LTD P. O. BOX 51948 $ 48400 NAIROBI.","1998-04-31","EXPIRED"
"5Y-ADM","BEECH 35N BANANZA","6620","BEECH AIRCRAFT COMPANY","DR. PAUL SCHUHLY P. O. BOX 44924NAIROBI.","","EXPIRED"
